subject,block,trial,mu1,mu2,choice,reward,RT
1,1,1,-1,-2,1,0,1655
1,1,2,-1,-2,2,-4,652
1,1,3,-1,-2,1,-1,479
1,1,4,-1,-2,1,-2,839
1,1,5,-1,-2,2,-1,424
1,1,6,-1,-2,1,0,426
1,1,7,-1,-2,1,-3,407
1,1,8,-1,-2,2,-1,686
1,1,9,-1,-2,1,-1,391
1,1,10,-1,-2,1,-1,350
1,2,1,0,-10,1,0,670
1,2,2,0,-10,2,-8,375
1,2,3,0,-10,1,-2,367
1,2,4,0,-10,1,0,415
1,2,5,0,-10,1,0,407
1,2,6,0,-10,1,-1,368
1,2,7,0,-10,2,-11,471
1,2,8,0,-10,1,1,335
1,2,9,0,-10,1,0,351
1,2,10,0,-10,2,-10,367
1,3,1,-5,3,1,-5,530
1,3,2,-5,3,2,2,302
1,3,3,-5,3,2,2,375
1,3,4,-5,3,2,3,360
1,3,5,-5,3,2,2,319
1,3,6,-5,3,2,1,335
1,3,7,-5,3,2,2,385
1,3,8,-5,3,2,4,350
1,3,9,-5,3,2,3,367
1,3,10,-5,3,2,4,391
1,4,1,-2,1,2,1,683
1,4,2,-2,1,2,3,319
1,4,3,-2,1,1,-2,502
1,4,4,-2,1,2,3,543
1,4,5,-2,1,2,1,327
1,4,6,-2,1,2,1,342
1,4,7,-2,1,2,0,342
1,4,8,-2,1,2,1,383
1,4,9,-2,1,2,2,424
1,4,10,-2,1,2,1,390
1,5,1,-2,-11,2,-11,504
1,5,2,-2,-11,1,-2,415
1,5,3,-2,-11,1,-3,596
1,5,4,-2,-11,1,-2,485
1,5,5,-2,-11,1,-2,493
1,5,6,-2,-11,1,-3,399
1,5,7,-2,-11,1,-1,392
1,5,8,-2,-11,1,-6,424
1,5,9,-2,-11,2,-10,503
1,5,10,-2,-11,1,-3,351
1,6,1,-5,-9,1,-6,656
1,6,2,-5,-9,2,-9,365
1,6,3,-5,-9,1,-5,519
1,6,4,-5,-9,1,-5,342
1,6,5,-5,-9,1,-5,319
1,6,6,-5,-9,1,-4,423
1,6,7,-5,-9,1,-5,399
1,6,8,-5,-9,1,-6,405
1,6,9,-5,-9,1,-4,359
1,6,10,-5,-9,1,-3,375
1,7,1,1,0,1,1,774
1,7,2,1,0,1,-1,366
1,7,3,1,0,2,0,340
1,7,4,1,0,2,0,335
1,7,5,1,0,2,-1,439
1,7,6,1,0,1,-1,368
1,7,7,1,0,1,3,463
1,7,8,1,0,1,0,343
1,7,9,1,0,1,2,367
